,val_loss,val_acc
0,6.93391672744751,0.0006
1,4.991951663970947,0.1229
2,4.961320461273194,0.1097
3,3.5735200145721437,0.1501
4,3.3008486209869385,0.1471
5,3.257706481552124,0.1656
6,3.1197368438720705,0.1592
7,3.1421349590301513,0.1699
8,3.3442608451843263,0.1672
9,3.057557897567749,0.1714
10,3.1438913318634034,0.1589
11,3.1243724296569826,0.1497
12,3.0034108627319336,0.16
13,3.071095831298828,0.1919
14,3.1152676242828368,0.1818
15,3.0626237884521483,0.1644
16,3.0270522525787356,0.1875
17,3.1385446784973143,0.1662
18,2.9882488121032713,0.191
19,3.051390422821045,0.1679
20,2.959857670211792,0.1787
21,3.0296707969665526,0.188
22,2.9275616233825685,0.1638
23,2.9623555156707764,0.1897
24,2.8352690029144285,0.1855
25,2.8605899631500242,0.187
26,2.859475036239624,0.1818
27,2.795039537811279,0.1807
28,2.8874062141418455,0.1867
29,2.81386573638916,0.1838
30,2.83931749458313,0.1907
31,2.706200803756714,0.1485
32,2.7216476833343504,0.1568
33,2.6519138080596925,0.1537
34,2.676235316848755,0.1843
35,2.720496410751343,0.173
36,2.662913302230835,0.1517
37,2.656504305267334,0.1664
38,2.6382818260192873,0.1597
39,2.6863213890075683,0.178
40,2.614787528991699,0.1696
41,2.599510814666748,0.15
42,2.6817205303192138,0.1778
43,2.6288779174804686,0.1428
44,2.5528189529418945,0.1365
45,2.578202592086792,0.1599
46,2.5611647148132324,0.1509
47,2.570439388656616,0.147
48,2.581732553482056,0.1801
49,2.5576218341827395,0.1591
50,2.53683124961853,0.1688
51,2.5752968269348147,0.1461
52,2.5834858470916746,0.1575
53,2.54654104347229,0.1669
54,2.504719792175293,0.1868
55,2.5725600906372073,0.1639
56,2.6050713016510008,0.1459
57,2.552739063644409,0.1635
58,2.563622594833374,0.1493
59,2.587004092788696,0.1499
60,2.5704673988342286,0.1633
61,2.5876457904815675,0.1381
62,2.5611946811676027,0.1551
63,2.5467501934051513,0.1516
64,2.5313313533782957,0.1572
65,2.609865563964844,0.1341
66,2.5672019947052003,0.1374
67,2.588905422973633,0.1514
68,2.5831871017456054,0.1556
69,2.526413175582886,0.1585
70,2.587648936843872,0.1377
71,2.534681909561157,0.1595
72,2.5834414241790773,0.1404
73,2.5209125030517576,0.1583
74,2.7054339653015136,0.1232
75,2.5580707118988038,0.1456
76,2.562415996170044,0.1574
77,2.573289992141724,0.1563
78,2.5218545040130613,0.1642
79,2.621969342803955,0.1506
80,2.568723475646973,0.1568
81,2.489375749588013,0.1762
82,2.646118432235718,0.1438
83,2.6374429042816163,0.1475
84,2.584246766281128,0.161
85,2.5909014682769778,0.1545
86,2.6413228816986085,0.1397
87,2.6662201152801512,0.1305
88,2.516760926437378,0.1747
89,2.633416806793213,0.1298
90,2.60785668258667,0.1323
91,2.6199983291625975,0.1369
92,2.556814055252075,0.1685
93,2.561342352294922,0.1607
94,2.5763988494873047,0.1559
95,2.698297928237915,0.1438
96,2.5610682796478272,0.1746
97,2.665721209716797,0.1411
98,2.4927785987854003,0.1793
99,2.533087257385254,0.1697
100,2.693467706680298,0.133
101,2.5307833126068116,0.178
102,2.5441492427825927,0.1894
103,2.6694646186828614,0.1417
104,2.5706560638427733,0.1686
105,2.6045581558227537,0.1564
106,2.469944974899292,0.1891
107,2.6283970500946046,0.1537
108,2.5733762130737303,0.1743
109,2.6608780670166015,0.1518
110,2.608128861236572,0.1557
111,2.646297518157959,0.1418
112,2.5709513851165773,0.1645
113,2.5647204399108885,0.1656
114,2.5508187881469726,0.17
115,2.50608497467041,0.1766
116,2.5672342128753662,0.159
117,2.5199510829925535,0.1951
118,2.522201435470581,0.1793
119,2.5808652633666993,0.1655
120,2.653416320800781,0.1622
121,2.497391382598877,0.1864
122,2.4933310623168947,0.1744
123,2.591243864822388,0.1816
124,2.5799501098632813,0.1652
125,2.658138903808594,0.1492
126,2.451174928283691,0.1843
127,2.5830875953674317,0.1823
128,2.5723536903381348,0.1703
129,2.5260348163604736,0.2161
130,2.6594537410736083,0.1607
131,2.5047348655700685,0.2009
132,2.4659839447021485,0.1975
133,2.54103579826355,0.1934
134,2.5790081634521482,0.1667
135,2.48692671546936,0.1949
136,2.499282164001465,0.2051
137,2.4574529350280763,0.1925
138,2.510208846282959,0.1877
139,2.5660740341186523,0.1865
140,2.60206512298584,0.1606
141,2.5449060440063476,0.1693
142,2.501521001815796,0.218
143,2.5741262393951416,0.1806
144,2.6482317195892335,0.1527
145,2.572741312789917,0.2067
146,2.7205205909729004,0.1473
147,2.46720743598938,0.2065
148,2.4863206172943113,0.2356
149,2.557644876861572,0.1995
150,2.547347720336914,0.1787
151,2.504104458618164,0.1971
152,2.6727615486145018,0.1748
153,2.477026870727539,0.2083
154,2.7269671363830565,0.1649
155,2.5931333141326904,0.2085
156,2.539880091094971,0.2043
157,2.608862215423584,0.1966
158,2.475766665649414,0.2385
159,2.515912441253662,0.213
160,2.5044693660736086,0.2132
161,2.5529889904022216,0.1982
162,2.3975630237579346,0.2226
163,2.6681920795440672,0.1788
164,2.480693661880493,0.2324
165,2.6690508556365966,0.1635
166,2.63836279296875,0.1743
167,2.4693291122436523,0.2351
168,2.584276820755005,0.1841
169,2.628516834640503,0.1638
170,2.5576968528747557,0.225
171,2.529729870223999,0.2059
172,2.66308212928772,0.1619
173,2.7065728935241697,0.1938
174,2.6076299514770507,0.1957
175,2.4773642791748047,0.2158
176,2.7129284202575685,0.1973
177,2.543787682723999,0.2205
178,2.516439716720581,0.2293
179,2.676880425262451,0.1898
180,2.5853833793640137,0.2199
181,2.48057681388855,0.2205
182,2.5836919635772704,0.1882
183,2.5685779197692873,0.2141
184,2.396303787994385,0.2323
185,2.5138934787750244,0.2237
186,2.4727897998809816,0.2457
187,2.484457314300537,0.2021
188,2.4669007389068605,0.2323
189,2.5881640384674074,0.2248
190,2.759097035217285,0.1763
191,2.5603500480651857,0.2081
192,2.539969215774536,0.2522
193,2.5831556442260744,0.1841
194,2.5021931999206544,0.2158
195,2.6960684432983397,0.2121
196,2.551416045379639,0.202
197,2.588024299240112,0.1864
198,2.526351235961914,0.2479
199,2.588204228591919,0.2071
200,2.5962778491973877,0.2082
